Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
65.2,12.906,23.0167932
65.4,11.116,19.82489065
65.6,12.399,22.11429003
65.8,14.058,25.07546274
66,14.012,24.99652539
66.2,15.439,27.54658885
66.4,11.576,20.65814825
66.6,12.815,22.87445642
66.8,11.561,20.64153458
67,12.323,22.00860738
67.2,14.616,26.11255248
67.4,12.229,21.85604478
67.6,12.152,21.72718168
67.8,14.113,25.24440684
68,12.291,21.99573303
68.2,13.829,24.76068179
68.4,14.344,25.69673338
68.6,12.502,22.40981047
68.8,13.278,23.81538657
69,12.354,22.17247081
69.2,14.721,26.43872931
69.4,12.889,23.16511775
69.6,11.833,21.28322475
69.8,11.313,20.36399071
70,11.653,20.9932968
70.2,11.886,21.43117435
70.4,12.333,22.25616233
70.6,13.096,23.6535139
70.8,11.281,20.39315323
71,14.153,25.60764151
71.2,11.052,20.01478492
71.4,14.279,25.88222927
71.6,14.058,25.5050564
71.8,11.574,21.01794663
72,12.856,23.36802918
72.2,13.607,24.7567449
72.4,11.923,21.71387391
72.6,13.329,24.2982937
72.8,14.147,25.81516988
73,12.833,23.44106744
73.2,13.946,25.5002058
73.4,12.996,23.7878386
73.6,14.975,27.43910427
73.8,15.87,29.1101568
74,11.522,21.15762154
74.2,10.92,20.07427811
74.4,12.944,23.82161641
74.6,13.284,24.47508691
74.8,14.935,27.54866825
75,14.129,26.09241582
75.2,15.54,28.73220537
75.4,14.004,25.92345295
75.6,12.461,23.0953354
75.8,13.257,24.60113888
76,12.416,23.06950619
76.2,14.422,26.83100208
76.4,11.951,22.26274604
76.6,15.022,28.02035994
76.8,13.493,25.2019662
77,14.248,26.64822893
77.2,13.346,24.99555542
77.4,13.389,25.11110499
77.6,13.921,26.14586457
77.8,14.765,27.77089592
78,14.4,27.12388304
78.2,13.904,26.22836493
78.4,14.258,26.93651461
78.6,14.2,26.86778083
78.8,14.399,27.28637618
79,14.206,26.96279546
79.2,14.345,27.26985418
79.4,15.694,29.88234854
79.6,12.571,23.97504651
79.8,13.994,26.73313359
80,15.923,30.46920691
80.2,13.434,25.74989172
80.4,12.294,23.60468951
80.6,13.999,26.92392647
80.8,14.492,27.91948164
81,15.516,29.943175
81.2,15.102,29.193964
81.4,13.568,26.27341325
81.6,17.613,34.16470329
81.8,15.239,29.61052456
82,14.098,27.44063575
82.2,15.213,29.66199343
82.4,15.369,30.01799767
82.6,13.464,26.34284897
82.8,16.503,32.34491506
83,15.261,29.96281309
83.2,16.371,32.19832904
83.4,13.815,27.21884275
83.6,14.736,29.08447193
83.8,15.19,30.03339025
84,14.502,28.72379146
84.2,16.899,33.53084224
84.4,16.875,33.54279071
84.6,17.911,35.66560621
84.8,17.289,34.48867218
85,16.902,33.7772296
85.2,13.656,27.33954713
85.4,15.354,30.79454705
85.6,14.814,29.76540125
85.8,15.601,31.40375924
86,15.748,31.75756073
86.2,13.868,28.01759562
86.4,13.716,27.76148008
86.6,14.497,29.39640632
86.8,17.029,34.59466295
87,16.055,32.67661459
87.2,18.723,38.17789175
87.4,16.394,33.49146955
87.6,15.381,31.48108276
87.8,15.44,31.66148531
88,16.07,33.01580461
