Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
13,74.908,1986.179514
13.2,73.031,1873.789323
13.4,79.626,1977.897289
13.6,76.697,1845.371658
13.8,78.722,1835.640634
14,85.638,1936.336029
14.2,76.216,1671.953318
14.4,82.312,1752.758044
14.6,80.115,1656.670347
14.8,82.27,1652.638911
15,89.634,1749.624026
15.2,91.995,1745.431242
15.4,89.119,1644.115774
15.6,98.005,1758.681904
15.8,98.94,1727.578761
16,110.19,1872.757621
16.2,112.77,1866.163566
16.4,115.42,1860.347514
16.6,135.48,2127.56177
16.8,147.42,2256.272379
17,157.68,2352.724922
17.2,183.84,2674.992066
17.4,201.98,2866.84783
17.6,218.65,3028.18197
17.8,252.45,3412.396454
18,272.96,3602.034232
18.2,313.97,4045.883415
18.4,349.68,4401.316838
18.6,387.99,4771.202362
18.8,416.83,5009.20932
19,463.65,5446.398905
19.2,502.56,5771.926253
19.4,565.43,6350.804253
19.6,609.74,6699.05609
19.8,667,7169.923423
20,721.08,7585.623774
20.2,776.21,7993.012718
20.4,841.39,8483.201925
20.6,923.02,9114.006466
20.8,967.91,9362.039401
21,1065.8,10100.59649
21.2,1119.5,10397.45217
21.4,1193.2,10862.76986
21.6,1266.8,11307.07386
21.8,1323.6,11585.14769
22,1398.8,12008.49103
22.2,1461.3,12306.74485
22.4,1514.8,12517.30501
22.6,1601.9,12990.36045
22.8,1620.9,12901.75252
23,1700.8,13290.05562
23.2,1783.5,13683.59288
23.4,1823.6,13739.80615
23.6,1905.5,14101.08861
23.8,1925.9,14000.28865
24,1965.3,14036.43653
24.2,2019.3,14171.54315
24.4,2059.7,14205.95655
24.6,2103.3,14258.6474
24.8,2142.8,14280.00045
25,2186.1,14323.31408
25.2,2182.5,14060.68095
25.4,2175.4,13782.23623
25.6,2183.4,13604.9336
25.8,2190.8,13427.85125
26,2160.1,13025.0754
26.2,2140.8,12701.37205
26.4,2156.8,12592.77827
26.6,2158.8,12406.04852
26.8,2110.5,11939.63739
27,2034.6,11333.07572
27.2,2013.3,11043.86875
27.4,1966.7,10626.21255
27.6,1900.8,10117.90424
27.8,1857.9,9744.929574
28,1775.3,9177.429019
28.2,1672.7,8524.18807
28.4,1609.2,8085.845196
28.6,1508.1,7473.474883
28.8,1392.6,6807.594806
29,1297.2,6256.619548
29.2,1140.6,5428.865897
29.4,983.91,4622.093003
29.6,817.95,3792.887109
29.8,609.77,2791.319305
30,382.7,1729.542739
30.2,158.84,708.749339
30.4,33.546,147.7993595
30.6,7.1543,31.12694233
30.8,4.8798,20.96750485
31,6.066,25.74304422
31.2,6.3248,26.51269434
31.4,6.4612,26.75506999
31.6,4.634,18.95703965
31.8,5.404,21.84171021
32,4.8022,19.17798973
32.2,4.3799,17.28434018
32.4,4.9809,19.42477319
32.6,4.589,17.68719626
32.8,4.9196,18.74115488
33,5.3397,20.10672778
33.2,4.1984,15.62781482
33.4,5.1841,19.07696136
33.6,5.7339,20.86115684
33.8,5.4888,19.74461925
34,4.8048,17.09070526
34.2,5.1766,18.20842651
34.4,4.0653,14.14141876
34.6,5.5564,19.11593327
34.8,5.0634,17.22957355
35,4.3896,14.77460307
35.2,4.4344,14.76530981
35.4,4.324,14.24610113
35.6,5.3918,17.58039929
35.8,4.6576,15.032113
36,5.4104,17.28720362
36.2,4.9456,15.64670969
36.4,4.1045,12.8599916
36.6,4.2102,13.06543734
36.8,4.2684,13.12164635
37,5.1991,15.83475866
37.2,5.5269,16.67938276
37.4,4.9269,14.73463173
37.6,4.772,14.14432921
37.8,4.083,11.99565901
38,3.765,10.9651921
38.2,5.0067,14.45607716
38.4,5.181,14.83196327
38.6,5.4182,15.38021109
38.8,6.2981,17.72852778
39,5.5246,15.4223698
39.2,5.4425,15.06832166
39.4,4.5731,12.55798958
39.6,6.2613,17.05460091
39.8,5.5295,14.9400861
40,5.7933,15.52758714
40.2,5.5304,14.70557742
40.4,5.7272,15.11016718
40.6,4.8331,12.65338779
40.8,5.3012,13.77403034
41,4.2642,10.99716881
41.2,4.698,12.02714344
41.4,4.272,10.85764325
41.6,4.7659,12.02684826
41.8,5.4646,13.69350625
42,5.1188,12.73854157
42.2,4.1324,10.21395976
42.4,4.5796,11.2435558
42.6,5.1072,12.4562289
42.8,4.8827,11.83133448
43,5.248,12.63511095
43.2,4.471,10.69651249
43.4,5.7156,13.58912902
43.6,5.0449,11.92103061
43.8,4.3301,10.17018929
44,6.4863,15.14382865
44.2,5.1516,11.95708398
44.4,6.1979,14.30238376
44.6,4.4748,10.26724045
44.8,5.0952,11.62498541
45,5.358,12.15679597
45.2,5.0451,11.38426337
45.4,5.9798,13.42064541
45.6,6.3805,14.24378002
45.8,5.665,12.58015094
46,5.4574,12.05641246
46.2,6.4155,14.10066428
46.4,6.4166,14.03203231
46.6,6.2288,13.55363411
46.8,6.1025,13.21367352
47,5.8009,12.49981752
47.2,5.8176,12.47590947
47.4,5.4945,11.72745077
47.6,4.3832,9.311942991
47.8,5.1927,10.98099814
48,4.714,9.923461935
48.2,5.0797,10.64539365
48.4,4.3535,9.083155394
48.6,5.2957,11.00069517
48.8,3.7869,7.832541681
49,5.8709,12.09118275
49.2,4.8985,10.0460444
49.4,5.1126,10.44152393
49.6,5.2656,10.70981107
49.8,4.8841,9.893540153
50,4.677,9.436016932
50.2,6.1081,12.27470376
50.4,5.1036,10.21651444
50.6,4.2132,8.40226929
50.8,4.4597,8.861049725
51,4.001,7.920984538
51.2,3.2584,6.42808558
51.4,4.3176,8.488311998
51.6,3.0926,6.059529254
51.8,4.1288,8.063233135
52,2.9235,5.691047934
52.2,4.353,8.44723628
52.4,3.3273,6.437056836
52.6,2.7054,5.218292142
52.8,2.6702,5.135395127
53,2.4666,4.730348811
53.2,1.7832,3.410276646
53.4,2.2581,4.306834202
53.6,2.5578,4.865605243
53.8,3.3091,6.278630669
54,2.1604,4.088867198
54.2,2.7857,5.259513731
54.4,1.5408,2.902205401
54.6,1.3471,2.531512956
54.8,1.9836,3.719292045
55,1.9253,3.602114301
55.2,1.3461,2.513135773
55.4,0.77845,1.450357871
55.6,1.3184,2.451451915
55.8,1.0079,1.870470672
56,1.0737,1.988835516
56.2,1.0499,1.941203808
56.4,0.88212,1.628105839
56.6,0.69959,1.289004586
56.8,0.5498,1.011335634
57,1.1721,2.152575597
57.2,0.95739,1.755532792
57.4,0.84014,1.538228492
57.6,0.34225,0.625726106
57.8,1.1143,2.034401946
58,0.83661,1.525363587
58.2,0.17295,0.314925737
58.4,0.20049,0.364618619
58.6,0.37048,0.672961795
58.8,0.33618,0.609954889
59,0.26295,0.476562233
59.2,0.29256,0.529666023
59.4,0.94305,1.705620657
59.6,0.83021,1.500084808
59.8,0.45745,0.825792443
60,0.38211,0.689182313
60.2,0.40716,0.733745586
60.4,0.54188,0.975734934
60.6,0.37317,0.671425029
60.8,0.95895,1.724100791
61,0.45786,0.82260086
61.2,0.45727,0.820980584
61.4,0.58325,1.046484178
61.6,0.65375,1.172253264
61.8,0.74809,1.340631987
62,0.7224,1.293878972
62.2,0.61333,1.09795511
62.4,0.42979,0.769016161
62.6,0.6312,1.12888399
62.8,0.78353,1.400733608
63,0.54639,0.976415667
