Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
20,25.68,270.1486916
20.2,25.369,261.2369586
20.4,28.935,291.7332601
20.6,31.074,306.8282777
20.8,31.093,300.7447914
21,36.914,349.8343205
21.2,38.284,355.5659301
21.4,42.979,391.2763878
21.6,41.145,367.2478322
21.8,46.09,403.4145186
22,50.169,430.6934418
22.2,55.586,468.1329771
22.4,60.202,497.4694983
22.6,64.311,521.5201141
22.8,76.22,606.6824461
23,81.417,636.1926494
23.2,92.437,709.2067703
23.4,101.78,766.8553793
23.6,113.11,837.0370676
23.8,125.56,912.7557209
24,138.99,992.6852459
24.2,145.04,1017.897598
24.4,164.17,1132.296882
24.6,177.57,1203.778833
24.8,196.49,1309.44432
25,207.21,1357.638677
25.2,225.36,1451.874024
25.4,255.55,1619.035795
25.6,278.88,1737.722764
25.8,289.07,1771.76783
26,317.59,1915.019535
26.2,336.23,1994.853478
26.4,369.87,2159.537694
26.6,387.61,2227.491415
26.8,407.33,2304.369816
27,456.58,2543.229977
27.2,482.57,2647.116547
27.4,508.08,2745.190456
27.6,549.98,2927.52787
27.8,570.25,2991.036164
28,607.64,3141.200343
28.2,634.33,3232.586966
28.4,672.57,3379.50342
28.6,709.15,3514.232951
28.8,751.58,3674.028511
29,789.86,3809.631141
29.2,825.85,3930.763546
29.4,853.15,4007.824542
29.6,873.74,4051.588952
29.8,923.18,4226.003503
30,946.22,4276.268437
30.2,976.76,4358.33546
30.4,1013.7,4466.231762
30.6,1055.8,4593.576689
30.8,1080.5,4642.688017
31,1118,4744.596677
31.2,1147.9,4811.8394
31.4,1177.9,4877.545493
31.6,1189.8,4867.303793
31.8,1221.5,4937.018694
32,1239.4,4949.648175
32.2,1290.1,5091.104195
32.4,1310.1,5109.196201
32.6,1333.2,5138.498595
32.8,1358,5173.284075
33,1360,5121.102269
33.2,1401.1,5215.351406
33.4,1398.1,5144.865971
33.6,1421.7,5172.449238
33.8,1435.8,5164.940301
34,1451.4,5162.639364
34.2,1440.9,5068.29227
34.4,1455.3,5062.358676
34.6,1461.7,5028.752368
34.8,1462.6,4976.887916
35,1453.9,4893.565565
35.2,1460.3,4862.389933
35.4,1464.3,4824.367689
35.6,1435.2,4679.585494
35.8,1428.4,4610.071756
36,1410.6,4507.121363
36.2,1394.2,4410.919331
36.4,1372.9,4301.494085
36.6,1355,4204.946938
36.8,1330.1,4088.909619
37,1289.5,3927.395374
37.2,1253.6,3783.183018
37.4,1221.1,3651.88228
37.6,1176.3,3486.583079
37.8,1125.8,3307.546635
38,1088.9,3171.314125
38.2,1020.8,2947.403192
38.4,981.77,2810.572589
38.6,911.18,2586.493806
38.8,850.55,2394.214018
39,761.86,2126.794094
39.2,679.54,1881.401433
39.4,595.87,1636.292504
