Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
10,622.92,28822.011
10.2,545.32,24204.20396
10.4,615.9,26243.02539
10.6,739.86,30284.74731
10.8,878.9,34584.45502
11,1015.9,38454.42351
11.2,1157.2,42163.3738
11.4,1155.8,40561.14903
11.6,1175.4,39753.43413
11.8,1244.7,40594.56992
12,1291.2,40630.89674
12.2,1387.5,42149.61922
12.4,1534.8,45034.09846
12.6,1611.3,45689.22049
12.8,1688.1,46277.189
13,1724.8,45732.93139
13.2,1725.7,44277.06364
13.4,1744.5,43333.10502
13.6,1714.8,41259.02341
13.8,1638,38194.90559
14,1531.1,34619.2589
14.2,1393.1,30560.48818
14.4,1183.9,25210.05745
14.6,919.41,19012.16106
14.8,584.15,11734.39918
15,184.72,3605.669167
15.2,35.992,682.8801703
15.4,5.8903,108.6674575
15.6,4.5698,82.00423002
15.8,3.3483,58.46424061
16,3.0899,52.51505375
16.2,2.7215,45.03648262
16.4,2.4657,39.74232252
16.6,2.7403,43.03334453
16.8,2.1471,32.86150064
17,1.6579,24.73733288
17.2,2.1514,31.30427508
17.4,1.7753,25.19811344
17.6,1.6556,22.92914736
17.8,1.3246,17.90477458
18,2.2954,30.29055311
18.2,1.7119,22.05990323
18.4,1.9139,24.08968284
18.6,1.5988,19.66081171
18.8,1.706,20.50166999
19,1.6516,19.40099737
19.2,1.6129,18.52423562
19.4,2.1158,23.7642708
19.6,1.7722,19.47070424
19.8,1.9741,21.22060844
20,2.1408,22.52080681
20.2,1.6959,17.46350893
20.4,1.202,12.11900393
20.6,1.7974,17.74773593
20.8,1.8134,17.53998021
21,2.2613,21.43036108
21.2,2.0973,19.47885344
21.4,1.5691,14.28492473
21.6,1.3105,11.69712685
21.8,1.5934,13.94664122
22,1.6833,14.45088143
22.2,2.1841,18.39400632
22.4,2.8061,23.18775388
22.6,1.9962,16.18787535
22.8,2.0132,16.02431252
23,1.7361,13.56588991
23.2,1.711,13.12734927
23.4,1.8046,13.59665177
23.6,2.0446,15.13045698
23.8,1.7977,13.06834151
24,2.2431,16.02052144
24.2,1.9703,13.82765883
24.4,2.3424,16.15576668
24.6,2.0419,13.8424058
24.8,2.2584,15.05037942
25,1.63,10.67975022
25.2,1.4833,9.556109072
25.4,1.8646,11.81316433
25.6,1.7797,11.0894478
25.8,1.9733,12.09475026
26,1.5392,9.281142567
26.2,1.8501,10.97664819
26.4,1.3315,7.774148863
26.6,1.0313,5.926606372
26.8,1.2365,6.995196222
27,0.93416,5.203433605
